Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,GAP medio,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Paladas totales,Swolf medio,Velocidad media de palada,Pasos,Repeticiones totales,Series totales,Descarga de Body Battery,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Ritmo respiratorio medio,Ritmo mínimo de respiración,Ritmo máximo de respiración,Cambio en estrés,Inicio del periodo de estrés,Fin del periodo de estrés,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo,2026-02-28 07:27:12,false,"Chillán Ciclismo","43.99","815","01:41:40","129","151","2.7","--","--","26.0","41.5","316","244","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-16","--","No","00:08:14.9","9","--","29","14","39","--","--","--","--","--","01:41:00","01:54:33","115","269"
Natación en piscina,2026-02-27 13:02:53,false,"Natación en piscina","1,600","622","00:47:31","140","159","3.3","--","--","2:26","0:57","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","973","69","25","--","--","--","--","--","No","00:00:00.6","24","--","--","--","--","--","--","--","--","--","00:38:49","00:47:41","--","--"
Carrera,2026-02-26 20:35:55,false,"Chillán Carrera","5.47","412","00:45:23","125","166","2.4","158","186","8:18","4:05","61","68","0.75","10.4","7.6","303","8:12","--","--","304","0.0","--","258","615","--","--","--","7,256","--","--","-6","--","No","00:00:00.9","7","--","--","--","--","--","--","--","--","--","00:45:10","01:01:07","117","138"
Entreno de fuerza,2026-02-26 06:43:24,false,"Fuerza","0.00","142","00:31:42","87","131","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","160","80","12","-2","--","No","00:31:42","1","--","--","--","--","--","--","--","--","--","00:10:09","00:31:42","--","--"
Natación en piscina,2026-02-25 13:07:41,false,"Natación en piscina","1,000","485","00:42:32","133","165","3.0","--","--","2:09","0:56","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","517","60","24","--","--","--","--","--","No","00:00:15.0","58","--","--","--","--","--","--","--","--","--","00:21:34","00:45:57","--","--"
Ciclismo en sala,2026-02-23 20:08:17,false,"Ciclismo en sala","34.30","655","01:30:06","124","137","2.6","--","--","22.8","27.3","--","--","--","--","--","--","--","80","96","98","23.9","106","95","156","7190","--","--","--","--","--","-10","--","No","00:11:12","7","--","28","21","36","--","--","--","--","--","01:29:47","01:30:06","--","--"
Ciclismo en sala,2026-02-22 19:10:18,false,"Ciclismo en sala","25.30","491","01:04:48","125","133","2.2","--","--","23.4","28.5","--","--","--","--","--","--","--","76","85","102","18.6","105","100","168","4922","--","--","--","--","--","-11","--","No","00:00:48.2","6","--","28","20","33","--","--","--","--","--","01:04:46","01:04:48","--","--"
Yoga,2026-02-22 08:19:40,false,"Yoga","--","156","01:12:47","68","99","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-4","--","No","01:12:47","1","--","16","9","23","-17","28","11","37","85","01:12:47","01:12:47","--","--"
Carrera,2026-02-21 08:28:40,false,"Coihueco Carrera","10.04","806","01:09:25","132","151","2.9","165","171","6:55","5:51","118","108","0.88","9.4","8.2","288","6:52","--","--","307","0.0","--","301","463","--","--","--","11,432","--","--","-10","--","No","00:00:15.1","11","--","--","--","--","--","--","--","--","--","01:09:15","01:11:02","261","322"
Natación en aguas abiertas,2026-02-21 07:31:14,false,"Coihueco Natación en aguas abiertas","1,117","345","00:27:51","130","144","2.5","--","--","2:30","1:39","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","568","50","20","--","--","--","-6","22.0","No","00:03:09.3","3","24.0","--","--","--","--","--","--","--","--","00:27:14","00:29:24","--","--"
Entreno de fuerza,2026-02-20 20:01:10,false,"Fuerza","0.00","288","00:51:03","98","143","1.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","222","111","22","-2","--","No","00:51:03","1","--","--","--","--","--","--","--","--","--","00:19:07","00:51:03","--","--"
Ciclismo en sala,2026-02-19 20:36:58,false,"Ciclismo en sala","33.00","674","01:30:01","120","136","2.6","--","--","22.0","29.7","--","--","--","--","--","--","--","82","99","104","27.0","109","99","190","7273","--","--","--","--","--","-10","--","No","00:07:52.9","7","--","26","19","33","--","--","--","--","--","01:29:50","01:30:01","--","--"
Entreno de fuerza,2026-02-18 07:08:10,false,"Fuerza","0.00","111","00:24:39","86","118","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","104","52","9","-1","--","No","00:24:39","1","--","--","--","--","--","--","--","--","--","00:06:23.9","00:24:39","--","--"
Carrera,2026-02-17 19:59:39,false,"Chillán Carrera","5.02","368","00:45:58","120","129","1.6","159","167","9:10","6:31","76","87","0.68","10.9","7.4","311","9:03","--","--","250","0.0","--","237","402","--","--","--","7,306","--","--","-4","--","No","00:00:06.8","6","--","--","--","--","--","--","--","--","--","00:45:56","00:46:03","116","133"
Ciclismo,2026-02-15 08:02:40,false,"Chillán Ciclismo","86.33","1,566","03:39:24","126","148","2.9","--","--","23.6","37.2","453","343","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","-23","--","No","00:03:31.9","18","--","28","17","35","--","--","--","--","--","03:39:09","04:20:46","127","287"
Carrera,2026-02-14 08:09:09,false,"Coihueco Carrera","8.61","703","00:58:57","133","150","2.9","162","172","6:51","5:37","88","88","0.89","9.3","8.3","287","6:48","--","--","308","0.0","--","301","448","--","--","--","9,628","--","--","-10","--","No","00:04:29.6","9","--","--","--","--","--","--","--","--","--","00:58:30","00:58:57","262","312"
Natación en aguas abiertas,2026-02-14 07:02:52,false,"Coihueco Natación en aguas abiertas","700","103","00:28:00","76","115","0.3","--","--","4:00","1:20","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","110","64","11","--","--","--","-2","23.0","No","00:08:30.5","2","24.0","--","--","--","--","--","--","--","--","00:21:22","00:28:00","--","--"
Carrera,2026-02-12 20:18:06,false,"Chillán Carrera","3.87","330","00:25:26","137","162","2.5","154","173","6:34","5:00","226","246","0.99","8.8","8.6","280","5:52","--","--","471","0.0","--","357","811","--","--","--","3,954","--","--","-4","--","No","00:00:57.2","8","--","--","--","--","--","--","--","--","--","00:23:56","00:25:26","104","148"
Entreno de fuerza,2026-02-12 06:47:18,false,"Fuerza","0.00","128","00:31:12","83","114","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","124","62","13","-2","--","No","00:31:12","1","--","--","--","--","--","--","--","--","--","00:09:29.8","00:31:12","--","--"
